"","chain_number","subj_id","participant_number","mwj","conscPos","conscNeg","dimension","numNeg","description","consc_diff"
"99",1,118,118,"pos",30,100,"eyes",11,"Zags has right and left eyes",-70
"100",1,118,118,"pos",100,83,"blood",9,"Colour of bloed",17
"101",1,118,118,"pos",0,91,"DNA",13,"No remembrance of human genes",-91
"102",1,118,118,"neg",100,100,"discrimination",17,"See and learn simple rules",0
"103",1,118,118,"neg",17,100,"deception",7,"Lives in small groups",-83
"104",1,118,118,"pos",98,31,"trace",17,"Associates with flash of light",67
"105",1,117,117,"neg",100,100,"blood",10,"The colour of their blood",0
"106",1,117,117,"neg",100,100,"DNA",14,"Similarly to human dna",0
"107",1,117,117,"neg",100,100,"deception",8,"Hiding or not",0
"108",1,117,117,"pos",100,100,"trace",16,"Patience",0
"109",1,117,117,"pos",100,100,"eyes",10,"Eye positioning",0
"110",1,117,117,"pos",100,100,"mirror",16,"Attention to mirror",0
"111",1,117,117,"pos",100,100,"discrimination",16,"Better eye sight",0
"112",1,117,117,"pos",100,100,"limbs",8,"Amount of arms",0
"113",1,116,116,"neg",83,82,"eyes",11,"eye placement",1
"114",1,116,116,"pos",93,73,"discrimination",15,"perception of objects",20
"115",1,116,116,"neg",86,85,"blood",11,"color of blood",1
"116",1,116,116,"neg",94,58,"limbs",9,"number of limbs",36
"117",1,116,116,"pos",91,78,"DNA",13,"dna composition",13
"118",1,116,116,"pos",96,76,"mirror",15,"reactions to reflections",20
"119",1,116,116,"neg",92,85,"deception",9,"level of indifference",7
"120",1,116,116,"pos",91,69,"trace",15,"response to conditioning",22
"121",1,115,115,"neg",100,99,"trace",16,"short term memory",1
"122",1,115,115,"neg",100,99,"discrimination",16,"Differentiating similar object",1
"123",1,115,115,"neg",50,51,"eyes",12,"Positioning of eyes",-1
"124",1,115,115,"neg",100,100,"mirror",16,"Recognition in mirrors",0
"125",1,115,115,"pos",100,100,"deception",8,"Feelings of embarrassment",0
"126",1,115,115,"neg",50,50,"DNA",14,"DNA chemical composition",0
"127",1,115,115,"neg",51,50,"blood",12,"Blood colour",1
"128",1,115,115,"neg",50,49,"limbs",10,"Limb numbers",1
"129",1,114,114,"pos",72,67,"mirror",15,"understanding of mirrors",5
"130",1,114,114,"pos",74,74,"discrimination",15,"object similarity",0
"131",1,114,114,"neg",48,50,"limbs",11,"number of arms",-2
"132",1,114,114,"neg",51,51,"eyes",13,"eye placement",0
"133",1,114,114,"neg",59,60,"DNA",15,"chemicals in DNA",-1
"134",1,114,114,"neg",64,65,"blood",13,"blood color",-1
"135",1,114,114,"neg",69,69,"deception",9,"Degree of cowardice",0
"136",1,114,114,"neg",36,36,"trace",17,"Association between stimulus & reward",0
"137",1,113,113,"neg",81,89,"deception",10,"hiding when caught",-8
"138",1,113,113,"pos",77,55,"trace",16,"ability to wait",22
"139",1,113,113,"pos",69,52,"eyes",12,"field of vision",17
"140",1,113,113,"pos",77,62,"limbs",10,"more human like",15
"141",1,113,113,"pos",74,72,"blood",12,"blood has oxygen",2
"142",1,113,113,"pos",73,72,"DNA",14,"similar to human",1
"143",1,113,113,"pos",92,62,"mirror",14,"more self aware",30
"144",1,113,113,"pos",91,76,"discrimination",14,"critical thinking skills",15
"145",1,112,112,"pos",100,72,"trace",15,"Vems are smarter",28
"146",1,112,112,"neg",100,50,"mirror",15,"Chups are more self-conscious",50
"147",1,112,112,"neg",84,83,"limbs",11,"Leems are more human-like",1
"148",1,112,112,"neg",83,83,"blood",13,"Fiks are more human-like",0
"149",1,112,112,"neg",78,79,"eyes",13,"Yubs are more human-like",-1
"150",1,112,112,"pos",100,57,"deception",9,"Zags have more morale",43
"151",1,112,112,"neg",100,93,"discrimination",15,"Xons are more smart",7
"152",1,112,112,"neg",82,82,"DNA",15,"Norps are closer to humans make-up",0
"153",1,111,111,"neg",83,83,"DNA",16,"They have different chemical building blocks",0
"154",1,111,111,"neg",51,51,"limbs",12,"less arms",0
"155",1,111,111,"neg",66,62,"trace",16,"longer memory",4
"156",1,111,111,"pos",84,80,"deception",8,"sense of shame",4
"157",1,111,111,"neg",89,76,"mirror",16,"stronger self consciousness",13
"158",1,111,111,"neg",66,65,"eyes",14,"placement of eyes",1
"159",1,111,111,"neg",57,56,"blood",14,"colour of blood",1
"160",1,111,111,"neg",73,67,"discrimination",16,"see more details",6
"161",1,110,110,"pos",94,75,"trace",15,"Yubs understand light means treats.",19
"162",1,110,110,"pos",69,62,"blood",13,"Chups have red blood.",7
"163",1,110,110,"pos",94,79,"DNA",15,"Pods have similar human chemical makeup.",15
"164",1,110,110,"neg",98,31,"deception",9,"Zags hide when they steal.",67
"165",1,110,110,"pos",88,62,"discrimination",15,"Dobs can distinguish between similarities.",26
"166",1,110,110,"pos",77,77,"eyes",13,"Vems have side-by-side eyes.",0
"167",1,110,110,"pos",65,65,"limbs",11,"Geks have two limbs.",0
"168",1,110,110,"pos",100,16,"mirror",15,"Leems recognize themselves in reflections.",84
"169",1,109,109,"neg",70,80,"deception",10,"They hide themselves",-10
"170",1,109,109,"pos",78,60,"discrimination",14,"Can tell difference between similar objects",18
"171",1,109,109,"pos",93,82,"limbs",10,"Leems have two arm limbs",11
"172",1,109,109,"pos",78,69,"DNA",14,"Fiks genes aren't made of same chemicals as human DNA",9
"173",1,109,109,"pos",65,82,"trace",14,"Can make the association without treat immediately",-17
"174",1,109,109,"pos",78,98,"blood",12,"Chup blood is yellow",-20
"175",1,109,109,"pos",78,30,"eyes",12,"Yubs have eyes one up top of the other",48
"176",1,109,109,"pos",35,73,"mirror",14,"Vems clean themselves, Huls ignore it",-38
"177",1,108,108,"neg",100,81,"mirror",15,"leaving face dirty",19
"178",1,108,108,"neg",50,51,"DNA",15,"",-1
"179",1,108,108,"neg",100,79,"discrimination",15,"difference between objects",21
"180",1,108,108,"neg",81,50,"trace",15,"timing of treat",31
"181",1,108,108,"neg",49,50,"eyes",13,"orientation of eyes",-1
"182",1,108,108,"neg",50,52,"blood",13,"colour of blood",-2
"183",1,108,108,"pos",100,100,"deception",9,"evasion of crime",0
"184",1,108,108,"neg",51,50,"limbs",11,"number of limbs",1
"185",1,107,107,"neg",100,17,"deception",10,"Fiks hide themselves when caught, Geks do not",83
"186",1,107,107,"pos",100,26,"mirror",14,"Rubs removes dirt from their forehead if see in a mirror, Yubs do not",74
"187",1,107,107,"pos",86,70,"discrimination",14,"Shuks can tell the difference between similar objects, Vems cannot",16
"188",1,107,107,"neg",46,52,"limbs",12,"Dobs have two limbs, Huls have five",-6
"189",1,107,107,"pos",100,78,"trace",14,"Leems associate, Toffs do not",22
"190",1,107,107,"pos",46,50,"eyes",12,"Zags eyes one above the other",-4
"191",1,107,107,"pos",50,55,"blood",12,"Different blood colour",-5
"192",1,107,107,"pos",55,50,"DNA",14,"Chups similar DNA to humans",5
"193",1,106,106,"neg",83,80,"limbs",13,"two arms",3
"194",1,106,106,"neg",68,67,"eyes",13,"right and left eyes",1
"195",1,106,106,"neg",74,72,"deception",11,"they hide",2
"196",1,106,106,"pos",64,44,"trace",13,"one second after",20
"197",1,106,106,"neg",69,58,"blood",13,"red blood",11
"198",1,106,106,"pos",61,45,"mirror",13,"notice the mirror",16
"199",1,106,106,"neg",62,58,"discrimination",15,"can tell differences",4
"200",1,106,106,"neg",55,56,"DNA",15,"resemble human DNA",-1
"201",1,105,105,"pos",100,57,"mirror",12,"Chups are aware of what a mirror is used for",43
"202",1,105,105,"pos",100,64,"trace",12,"The pods are conscious enough to know that they will get a treat even if they have to wait",36
"203",1,105,105,"pos",100,58,"discrimination",14,"Huls are a lot more perceptive",42
"204",1,105,105,"pos",50,50,"limbs",12,"The amount of Limbs is the only thing that separates them",0
"205",1,105,105,"pos",62,50,"eyes",12,"Rubs have different eye placement in contrast to vems",12
"206",1,105,105,"pos",100,21,"deception",10,"The Norps are much more aware that what they are doing is wrong, so they must have some sort of moral compass",79
"207",1,105,105,"pos",57,50,"blood",12,"The color of the blood seems to be the only difference",7
"208",1,105,105,"pos",62,53,"DNA",14,"Geks are a little more similar to humans as opposed to Shuks",9
"209",1,104,104,"pos",100,0,"deception",9,"Huls have a conscience and are more timid than Dobs",100
"210",1,104,104,"pos",82,21,"limbs",11,"Rubs are like humans and Toffs are more spidert like",61
"211",1,104,104,"pos",93,24,"DNA",13,"Elms are like humans when Xons are more like aliens",69
"212",1,104,104,"pos",100,57,"trace",11,"Fiks are more intelligent than Pods",43
"213",1,104,104,"pos",100,84,"mirror",11,"Chups are cleaner than Geks",16
"214",1,104,104,"pos",91,0,"blood",11,"Vem closer to humands than Leems",91
"215",1,104,104,"pos",85,20,"eyes",11,"Zags are like humans and Norps are not",65
"216",1,104,104,"pos",100,22,"discrimination",13,"Shuks have a better understanding of surroundings",78
"217",1,103,103,"pos",55,55,"eyes",10,"Shuks eyes are vertically placed, Fiks eyes are horizontal.",0
"218",1,103,103,"pos",61,61,"DNA",12,"Norps are not carbon based creatures whereas Leems are.",0
"219",1,103,103,"pos",60,62,"limbs",10,"Geks have more limbs than Huls.",-2
"220",1,103,103,"pos",61,59,"discrimination",12,"Dobs seem more intelligent than Yubs they can tell the difference between objects.",2
"221",1,103,103,"pos",65,65,"blood",10,"Rub have yellow blood",0
"222",1,103,103,"pos",79,68,"trace",10,"Chups have a better memory than Pods.",11
"223",1,103,103,"pos",76,64,"mirror",10,"Xons cannot understand a mirror reflects themselves.",12
"224",1,103,103,"neg",72,77,"deception",10,"Toffs hide away if they steal Zags do not.",-5
"225",1,102,102,"neg",100,100,"eyes",11,"location of eyes",0
"226",1,102,102,"neg",100,100,"limbs",11,"number of appendages",0
"227",1,102,102,"neg",100,100,"DNA",13,"genetic make-up",0
"228",1,102,102,"neg",100,100,"blood",11,"blood colourisation",0
"229",1,102,102,"neg",100,100,"mirror",11,"mirror acceptance",0
"230",1,102,102,"neg",100,100,"deception",11,"Norps are brazen",0
"231",1,102,102,"neg",100,100,"trace",11,"Geks better memory",0
"232",1,102,102,"neg",100,100,"discrimination",13,"Shuks better eyesight?",0
"233",1,101,101,"pos",79,29,"mirror",10,"ignore the dirt from the from the mirror",50
"234",1,101,101,"pos",76,28,"trace",10,"Yubs can only associate when given treat",48
"235",1,101,101,"pos",75,28,"DNA",12,"the dna of fiks has no resemblence to human DNA",47
"236",1,101,101,"pos",75,15,"discrimination",12,"elms cannot tell the difference of similar objects",60
"237",1,101,101,"pos",75,23,"limbs",10,"xons have more limbs",52
"238",1,101,101,"pos",76,7,"deception",10,"don't hide",69
"239",1,101,101,"pos",75,18,"eyes",10,"norps eyes are above eachother",57
"240",1,101,101,"pos",80,25,"blood",10,"different blow",55
"241",1,100,100,"neg",100,100,"deception",11,"Chups hide themselves",0
"242",1,100,100,"neg",100,100,"discrimination",13,"Huls differentiate objects",0
"243",1,100,100,"neg",70,70,"eyes",11,"Eye positioning",0
"244",1,100,100,"neg",53,54,"limbs",11,"Number of limbs",-1
"245",1,100,100,"neg",100,100,"mirror",11,"Use of mirror",0
"246",1,100,100,"neg",79,80,"DNA",13,"Human DNA relation",-1
"247",1,100,100,"neg",100,100,"trace",11,"reaction to light",0
"248",1,100,100,"neg",54,53,"blood",11,"Colour of blood",1
"249",1,99,99,"pos",94,93,"trace",10,"Both had the mental capacity to learn the association between the treat and the light. However, Xons had longer term memory capacity.",1
"250",1,99,99,"neg",96,91,"discrimination",14,"Yubs have lower mental capacity.",5
"251",1,99,99,"pos",100,100,"mirror",10,"Shuks have a higher mental ability to be self aware than do Chups.",0
"252",1,99,99,"pos",83,83,"DNA",12,"Vems DNA is closer to that of humans than that of Huls is.",0
"253",1,99,99,"pos",100,96,"deception",10,"Leems are more capable of knowing right from wrong than Fiks. They know the concept of guilt.",4
"254",1,99,99,"pos",76,77,"eyes",10,"The positioning of the eyes is different on both species.",-1
"255",1,99,99,"pos",59,60,"blood",10,"Different coloured blood. Rubs blood is the same colour as human blood.",-1
"256",1,99,99,"pos",58,59,"limbs",10,"Different number of arms. Elms have the same number as humans.",-1
"257",1,98,98,"neg",100,100,"DNA",13,"building blocks similar to human DNA",0
"258",1,98,98,"neg",100,100,"mirror",11,"recognise themselves in a mirror",0
"259",1,98,98,"pos",100,100,"blood",9,"blood colour",0
"260",1,98,98,"neg",100,100,"deception",11,"they have a conscience",0
"261",1,98,98,"neg",100,100,"discrimination",15,"they can distinguise between objects",0
"262",1,98,98,"pos",100,100,"eyes",9,"eye placement",0
"263",1,98,98,"neg",100,99,"trace",11,"they have longer memories",1
"264",1,98,98,"pos",100,100,"limbs",9,"more arms",0
"265",1,97,97,"neg",49,50,"limbs",10,"Norps have 5 arms.",-1
"266",1,97,97,"neg",50,49,"mirror",12,"Yubs are cleaner.",1
"267",1,97,97,"neg",50,49,"eyes",10,"Rubs have vertical eyes.",1
"268",1,97,97,"neg",47,52,"trace",12,"Pods only respond to immediate treats.",-5
"269",1,97,97,"neg",50,52,"discrimination",16,"Fiks can't tell the difference between similar items.",-2
"270",1,97,97,"neg",49,53,"DNA",14,"Chups' DNA bears no resemblance to human DNA.",-4
"271",1,97,97,"neg",51,56,"blood",10,"Huls have yellow blood.",-5
"272",1,97,97,"pos",53,53,"deception",10,"Xons hide when caught stealing food.",0
"273",1,96,96,"neg",50,50,"blood",11,"Colour of blood",0
"274",1,96,96,"neg",50,51,"eyes",11,"Location of eyes",-1
"275",1,96,96,"neg",100,100,"mirror",13,"Forehead cleaning",0
"276",1,96,96,"neg",50,50,"limbs",11,"Number of arms",0
"277",1,96,96,"neg",100,100,"trace",13,"Association making ability",0
"278",1,96,96,"neg",100,100,"discrimination",17,"Distinguishing objects ability",0
"279",1,96,96,"pos",100,100,"deception",9,"Instinct to hide",0
"280",1,96,96,"neg",50,50,"DNA",15,"Human DNA similarity",0
"281",1,95,95,"neg",97,96,"trace",14,"light and treat",1
"282",1,95,95,"pos",100,59,"discrimination",16,"chups learn simple rules",41
"283",1,95,95,"neg",95,98,"deception",10,"they attempt to hide themselves",-3
"284",1,95,95,"pos",97,97,"limbs",10,"zags have two arm like limbs",0
"285",1,95,95,"pos",92,79,"eyes",10,"Xons have right and left eyes",13
"286",1,95,95,"pos",98,77,"DNA",14,"same chemical blocks that make up human dna",21
"287",1,95,95,"pos",93,76,"blood",10,"dobs blood is red",17
"288",1,95,95,"neg",91,95,"mirror",14,"geks like to keep themselves clean",-4
"289",1,94,94,"pos",67,57,"trace",13,"Better memory retention",10
"290",1,94,94,"neg",72,62,"discrimination",17,"Understanding of forms",10
"291",1,94,94,"pos",74,66,"deception",9,"Sense of shame",8
"292",1,94,94,"neg",50,50,"DNA",15,"Dissimilar genomic strands",0
"293",1,94,94,"pos",51,52,"eyes",9,"Eye placement",-1
"294",1,94,94,"neg",53,53,"blood",11,"Blood colour",0
"295",1,94,94,"neg",63,58,"mirror",15,"Desire for cleanliness",5
"296",1,94,94,"pos",50,50,"limbs",9,"Number of arms",0
"297",1,93,93,"neg",100,100,"DNA",16,"Different chemical blocks",0
"298",1,93,93,"neg",100,100,"deception",10,"Admit when caught",0
"299",1,93,93,"neg",100,100,"limbs",10,"Less arm limbs.",0
"300",1,93,93,"neg",100,100,"discrimination",18,"Better eyesight",0
"301",1,93,93,"neg",100,100,"trace",14,"Norps more patient",0
"302",1,93,93,"pos",100,100,"eyes",8,"Human looking eyes",0
"303",1,93,93,"pos",100,100,"blood",10,"Human blood color.",0
"304",1,93,93,"neg",100,100,"mirror",16,"Clean more seriously",0
"305",1,92,92,"neg",100,100,"DNA",17,"human-dna chemical resemblance",0
"306",1,92,92,"neg",50,50,"blood",11,"differing blood colour",0
"307",1,92,92,"neg",100,100,"limbs",11,"number of arm-limbs",0
"308",1,92,92,"neg",100,100,"eyes",9,"eye-socket orientation",0
"309",1,92,92,"pos",100,100,"discrimination",17,"similar-object discernment",0
"310",1,92,92,"pos",100,100,"mirror",15,"forehead dirt-fleck prioritization",0
"311",1,92,92,"neg",100,100,"trace",15,"treat-doling association",0
"312",1,92,92,"neg",100,100,"deception",11,"brazen food stealers",0
"313",1,91,91,"pos",95,84,"discrimination",16,"Different object vision",11
"314",1,91,91,"neg",50,54,"trace",16,"Treat activation time",-4
"315",1,91,91,"neg",50,51,"blood",12,"Different color blood",-1
"316",1,91,91,"neg",48,50,"limbs",12,"Amount of limbs",-2
"317",1,91,91,"pos",50,51,"eyes",8,"Eye location",-1
"318",1,91,91,"neg",49,50,"deception",12,"If they hide",-1
"319",1,91,91,"neg",49,50,"DNA",18,"DNA structure",-1
"320",1,91,91,"neg",48,50,"mirror",16,"Seeing a mirror",-2
"321",1,90,90,"pos",97,79,"mirror",15,"norps care less",18
"322",1,90,90,"pos",95,87,"discrimination",15,"pods dont see variety",8
"323",1,90,90,"pos",100,100,"blood",11,"blood is different",0
"324",1,90,90,"neg",100,100,"eyes",9,"eyes aren't vertical",0
"325",1,90,90,"neg",100,100,"deception",13,"zags are more truthful overall",0
"326",1,90,90,"pos",100,92,"trace",15,"Huls have less object permenance perhaps",8
"327",1,90,90,"pos",100,100,"DNA",17,"they have no similar human dna traits",0
"328",1,90,90,"neg",100,100,"limbs",13,"geks have many arms over just 2",0
"329",1,89,89,"pos",100,100,"mirror",14,"chups ignore reality",0
"330",1,89,89,"pos",100,100,"discrimination",14,"greater detail attention",0
"331",1,89,89,"pos",100,100,"deception",12,"guilt morality",0
"332",1,89,89,"pos",100,100,"blood",10,"colour of blood",0
"333",1,89,89,"neg",100,100,"eyes",10,"eye placement",0
"334",1,89,89,"pos",100,100,"trace",14,"1 second",0
"335",1,89,89,"pos",100,100,"limbs",12,"more human like",0
"336",1,89,89,"pos",100,100,"DNA",16,"resemblance to humans",0
"337",1,88,88,"neg",100,100,"blood",11,"Fiks blood red",0
"338",1,88,88,"pos",100,100,"deception",11,"Pods hide",0
"339",1,88,88,"pos",100,100,"DNA",15,"Toffs like human",0
"340",1,88,88,"neg",100,100,"discrimination",15,"Leems good eyes",0
"341",1,88,88,"neg",100,100,"trace",15,"Xons train better",0
"342",1,88,88,"neg",100,100,"limbs",13,"Dobs five arms",0
"343",1,88,88,"neg",100,100,"eyes",11,"Rubs vertical eyes",0
"344",1,88,88,"pos",100,100,"mirror",13,"Geks self aware",0
"345",1,87,87,"neg",50,45,"eyes",12,"the location of their eyes on the face",5
"346",1,87,87,"neg",59,50,"trace",16,"the dobs made the association with light and a treat better than the huls",9
"347",1,87,87,"neg",50,56,"DNA",16,"pod genes have the chemical building blocks of human dna while norps have none at all",-6
"348",1,87,87,"neg",50,53,"mirror",14,"shuks remove dirt from their face if they see it while toffs they will not",-3
"349",1,87,87,"pos",55,50,"deception",10,"yubs try to hide if they are stealing but vems seem not too care",5
"350",1,87,87,"pos",46,50,"limbs",12,"geks have 3 less arms than xons",-4
"351",1,87,87,"pos",81,50,"discrimination",14,"leems can tell differences to similar objects while it seems to be more difficult for fiks",31
"352",1,87,87,"neg",50,40,"blood",12,"they have a different color of blood",10
"353",1,86,86,"pos",100,100,"trace",15,"cognitive reasoning",0
"354",1,86,86,"pos",84,84,"eyes",11,"location of eyes",0
"355",1,86,86,"pos",83,84,"blood",11,"different colored blood",-1
"356",1,86,86,"pos",100,86,"deception",9,"sensation of guilt",14
"357",1,86,86,"pos",100,85,"discrimination",13,"ability to reason",15
"358",1,86,86,"pos",84,85,"DNA",15,"resemblance to humans",-1
"359",1,86,86,"pos",81,82,"limbs",11,"amount of limbs",-1
"360",1,86,86,"pos",100,100,"mirror",13,"self care",0
"361",1,85,85,"pos",50,51,"limbs",10,"Number of limbs",-1
"362",1,85,85,"pos",73,74,"blood",10,"Differently colored blood",-1
"363",1,85,85,"pos",100,86,"discrimination",12,"Differentiating between objects",14
"364",1,85,85,"pos",75,60,"trace",14,"Slower reaction times",15
"365",1,85,85,"pos",99,48,"DNA",14,"Similarity to humans",51
"366",1,85,85,"pos",49,49,"eyes",10,"Eye position",0
"367",1,85,85,"pos",100,89,"deception",8,"Reaction when confronted",11
"368",1,85,85,"pos",100,92,"mirror",12,"Level of hygiene",8
"369",1,84,84,"pos",70,67,"DNA",13,"Xons have the same chemical building blocks that make up human DNA and the Dobs don't.",3
"370",1,84,84,"neg",71,71,"blood",11,"their blood color is different - fiks have human colored blood.",0
"371",1,84,84,"neg",69,68,"limbs",11,"norps have two more arms than zags",1
"372",1,84,84,"neg",100,100,"mirror",13,"Shuks don't seem to see their foreheads in the mirror or don't care about removing it.",0
"373",1,84,84,"pos",100,97,"trace",13,"The Huls failed the 1 second marshmallow test.",3
"374",1,84,84,"neg",100,100,"deception",9,"Pods are sneakier.",0
"375",1,84,84,"neg",100,100,"discrimination",13,"Yubs can't tell differences like leems can between similar objects",0
"376",1,84,84,"neg",81,82,"eyes",11,"Vems have vertically places eyes; Rubs have horizontal.",-1
