"","subj_id","participant_number","mwj","conscPos","conscNeg","dimension","numNeg","description","chain_number","consc_diff"
"18","8",8,"pos",54,46,"self",11,"Fiks are more inteligent tha Huls. They try to hide when they steal food. Also when they see a problem, they fix it, not like Huls who just ignores the problem.",1,8
"19","8",8,"pos",56,50,"eRichness",9,"Elms are more similar to human. Similar to me, they don't like to look on angry face when they're in bad mood. Also sometimes even if they see danger, they will last as long as the reward can be get.",1,6
"20","8",8,"neg",57,57,"appearance",11,"Leems have just more similar to human's body.",1,0
"21","8",8,"neg",60,54,"unity",15,"Geks are more inteligent. Toffs more seems like kind of robots.",1,6
"22","8",8,"neg",54,54,"size",11,"Norps are just much bigger species.",1,0
"23","8",8,"neg",56,56,"pRichness",15,"Shuks have better visual skills and memory skills.",1,0
"24","8",8,"pos",67,53,"time",11,"Vems are patient and have better memory.",1,14
"25","7",7,"pos",63,33,"unity",14,"Geks are... more intelagent.",1,30
"26","7",7,"pos",62,62,"appearance",10,"Huls are...only two arms.",1,0
"27","7",7,"pos",68,68,"biology",12,"Toffs are...more silialr to humans",1,0
"28","7",7,"pos",50,50,"size",10,"Dobs are...taller and heavier",1,0
"29","7",7,"pos",63,36,"self",10,"Elms are...more self conscious.",1,27
"30","7",7,"pos",64,50,"eRichness",8,"Vems are... more aware of taste and temperature",1,14
"31","7",7,"pos",65,50,"time",10,"Xons are...better at roblem solving and have a better sense of taste",1,15
"32","7",7,"pos",72,50,"pRichness",14,"Fiks are..more capable of seeing colours and light.",1,22
"33","6",6,"neg",100,100,"biology",13,"Leems are an alien species that at a base level, genetically are similar to humans. Whereas Shuks have genes that are completely different. Also, Shuks have yellow blood, and Leems have red blood, again similar to humans.",1,0
"34","6",6,"pos",100,89,"pRichness",13,"Pods seem to be more aware of their surroundings and are able to learn and retain facts and commands. They can see patterns, learn rules and differentiate between similar objects. They can also retain short-term memories and make distinctions that will benefit them. Geks can perform simple tasks like seeing patterns and learning rules, however they cannot differentiate. It seems they cannot retain much short-term memory.",1,11
"35","6",6,"neg",100,100,"eRichness",9,"Norps are more susceptible to their surroundings than Vems. Their moods can be more easily influenced by their surroundings, for example being shown a picture of something can alter how they feel. Vems seem more resilient - they do not show susceptibility as easily, they seem to weigh their need for a stable temperature more highly than hunger.",1,0
"36","6",6,"pos",91,90,"size",9,"A Zag weighs 45,000x more than a Hul, and are 120 times taller.",1,1
"37","6",6,"pos",100,100,"time",9,"Elms seem to be able to make decisions that will benefit them in the long-term more easily. They can remember details they are told and recall them to make decisions that do not only give them instant gratification. Toffs can recall details, however seem to forget correlations that work in their favour. They also prefer instant gratification, even if waiting would be more beneficial.",1,0
"38","6",6,"neg",98,98,"appearance",11,"Yubs seem similar to humans, with two side-by-side eyes and two limbs. However, Xons' eyes are above each other, and they have five limbs",1,0
"39","6",6,"neg",100,100,"self",11,"Chups have more inner reflection than Dobs. Dobs seem to not care if caught doing something wrong, or if they are dirty or have an imperfection. Chups are more insecure, or self aware, as they try to fix the issue and try to hide if they do something wrong.",1,0
"40","6",6,"pos",100,97,"unity",13,"Rubs seem to have more control over their senses than Fiks. They can associate their senses like sight and touch together, even if they have not touched something before. They can also receive information from either eye equally. Whereas, Fiks seem to rely on previously acquired knowledge and cannot recognise something by touch unless they have touched it before.",1,3
"41","5",5,"pos",84,50,"biology",12,"Toffs are more human like than Yubs. Tuffs has red blood just like human while Yubs has yellow blood.",1,34
"42","5",5,"pos",91,46,"self",10,"Rubs are clean and always want to maintain that state all the time. Rubs know when they've done something bad leems also are also clean but can do without maintaining the clean state all the time. leems are comfortable with be caught stealing.",1,45
"43","5",5,"pos",81,50,"pRichness",12,"Zags are clever and very conscious while geks are also clever but less conscious",1,31
"44","5",5,"neg",80,82,"time",10,"Huls are calculative for short term plans only while pods are calculative for long term plans only",1,-2
"45","5",5,"pos",78,68,"appearance",10,"Vems are more human like with two eyes just like the human own and two limbs just like the human upper limbs",1,10
"46","5",5,"pos",54,50,"size",8,"Dobs are bigger in size and weighs more as compare to norps",1,4
"47","5",5,"pos",91,77,"eRichness",8,"Elms are express their moods better as compare to chups",1,14
"48","5",5,"pos",83,50,"unity",12,"Fiks are more brillant with judgement as compare to xons",1,33
"49","4",4,"pos",55,44,"pRichness",11,"Pods are... able to hold longer memory and cognitively differentiate between objects, which Xons cannot do.",1,11
"50","4",4,"pos",63,45,"biology",11,"Huls are... more similar to humans genetically than Zags as a result of their base genetic makeup, resulting in likely more physiological and cognitive similarities to humans than Zags have.",1,18
"51","4",4,"pos",53,53,"appearance",9,"Shuks have eyes horizontally separated while Norps have eyes vertically separated. Shuks also have two arms while Norps have five.",1,0
"52","4",4,"pos",88,63,"time",9,"Dobs are... more able to cognitively prepare for the future through conscious thought and higher order thinking than Elms.",1,25
"53","4",4,"pos",94,68,"eRichness",7,"Fiks are... able to use higher order thought, weighing needs and choosing options that are better for their physical and mental states.",1,26
"54","4",4,"pos",53,48,"unity",11,"Leems are... more well versed in visual learning and visual memory than Geks.",1,5
"55","4",4,"neg",38,36,"size",9,"Toffs are... far taller and heavier than Vems.",1,2
"56","4",4,"pos",97,47,"self",9,"Yubs are... more self aware and self conscsious than Chups. They also have a grasp of the idea of risk reward, recognizing being caught would likely lead to punishment of some sort.",1,50
"57","3",3,"pos",100,100,"unity",10,"Zags are... able to feel the fruit if just shown the picture. They are also able to see the picture and make a sound regardless if one of the eyes is untrained which the pods cannot do. It seems that they have higher sensory capabilities than the Pods.",1,0
"58","3",3,"neg",100,100,"eRichness",8,"Norps are... more in tune with what they want? Although they are similar to Fiks in disliking temperature, if they eat the sweet space berries they leave at 8, but for some reason they will stay and eat the bitter ones longer.The Fiks will eat and stay regardless despite how cold it gets.",1,0
"59","3",3,"pos",100,100,"pRichness",10,"Huls are... able to learn association much better than Geks. They could associate that the light meant a treat was coming even if it wasn't immediately. The Geks could understand that the light meant a treat only if it was immediately.",1,0
"60","3",3,"pos",100,100,"size",8,"Yubs are... heavier and taller. They weigh more and are taller than Rubs according to the reading and charts although the order in the text lead to believe the chart was concurrent with it. The Yubs were listed last in the text and first on the chart.",1,0
"61","3",3,"pos",100,100,"self",8,"Chups are... more self-aware of themselves. If they notice they're dirty they'll clean themselves. If they get caught stealing, they will try to make an excuse/frame somebody else. The Elms don't like to be dirty, but they don't make the association that it is them that is dirty. They also don't seem to care if they get caught stealing. They are probably not aware of norms/care about their image to others.",1,0
"62","3",3,"pos",100,100,"biology",10,"Leems are... similar to humans. They have blood that is red, and their DNA is similar to humans. Dobs are like a bear/animal. Their DNA code is similar to a bear, and their blood is not the color red. Leems would be more similar to humans than Dobs.",1,0
"63","3",3,"pos",100,100,"appearance",8,"Shuks are... normal looking because they look like a human/what we're used to seeing. Animals and humans have eyes that are side by side and have limbs on each side. The Xons look like an alien/foreign. They have a weird assortment of limbs, and their eyes are stacked on top of each other like a stereotypical alien.",1,0
"64","3",3,"pos",100,100,"time",8,"Toffs are... are able to see the future/make the long term plan. The Toffs would acknowledge that they need the triangular key to open the box to get the berries, so they made note to choose it the next day. They also realize that if they don't eat the berries today, it will ripen and be larger and sweeter the next. They are able to plan ahead/see the benefits of waiting. The Vems are not that smart/have bad memory/not able to plan. They know that they need a triangular key to open the box. However, the next day they seem to not care/remember that the triangular key is best. In terms of the berries, they know they will ripen and become larger and sweeter. However, they still go ahead and eat them now. Perhaps, they also are impatient.",1,0
"65","2",2,"neg",100,100,"biology",11,"Elms are...Subject of human type DNA, with red blood. Norps have no human related DNA, and have yellow blood.",1,0
"66","2",2,"neg",100,100,"appearance",9,"Fiks are... subject of two eyes, side by side, and two arms, Dobs have two eyes, one above the other, and the bear x5 arms.",1,0
"67","2",2,"neg",100,100,"pRichness",11,"Shuks are...able to tell the difference between shades of colour - Geks cannot. Shuks are also able to define the association with blast of light resulting in a treat. Geks only identify this upon being granted the stated treat.",1,0
"68","2",2,"neg",100,100,"size",9,"Huls are... much heavier than Zags. Zags weight in at 1g, Huls 7kg - however are otherwise identical.",1,0
"69","2",2,"neg",100,99,"self",9,"Toffs are... concious of cleanliness, and if see dirt - remove. Vems - of they see dirt, they avoid the seeing of it (mirror use). Toffs steal and then hide, Vems steal from neighbours - and do not hide (care not?)",1,1
"70","2",2,"neg",100,100,"unity",11,"Pods are...Pods can see an image of s fruit - and then recognise the fruit by touch alone - Yubs are unable to do this. Pods - if shown an image of a flower to either left or right eye - they will squeak in recognition. Yubs - will on ly to this to the trained left eye alone.",1,0
"71","2",2,"neg",100,100,"time",9,"Chups are...identical to Rubs, and are able to associate the requirement to complete a given task, and remebber the key component a day later. Rubs, are unable to complete such task, and have no active memory to assist.",1,0
"72","2",2,"neg",100,99,"eRichness",9,"Xons are... able to experience both good and bad moods. Xons refuse to look at appearances of anger if they themselves are in a good mood. Leems care not.",1,1
"73","1",1,"neg",98,98,"appearance",10,"Pods are... almost ""normal"" looking with their eyes being next to each other while Toffs had eyes sort of vertically arranged and had five limbs.",1,0
"74","1",1,"pos",100,73,"biology",10,"Rubs are... more similar to humans in their genetic makeup while Huls are not similar at all.",1,27
"75","1",1,"neg",68,90,"time",10,"Yubs are... not as concerned about the future as Chups or they are just less patient.",1,-22
"76","1",1,"pos",93,61,"pRichness",10,"Xons are... seemingly a bit more intelligent than Norps",1,32
"77","1",1,"neg",52,52,"size",10,"Elms are... bigger than zags",1,0
"78","1",1,"neg",84,84,"self",10,"Dobs are... able to recognize themselves while Geks are not able to do so",1,0
"79","1",1,"pos",82,50,"unity",10,"Fiks are... smarter than leems",1,32
"80","1",1,"neg",59,50,"eRichness",10,"Vems are... more affected by mood than Shuks",1,9
"81","5ec19ee0501a370888fa99b0",10,"pos",66,67,"biology",9,"Dobs are more human like with red blood and similar dna chemicals",2,-1
"82","5ec19ee0501a370888fa99b0",10,"neg",73,75,"appearance",11,"Chups have eyes that are positioned like human with two limbs rather than five",2,-2
"83","5ec19ee0501a370888fa99b0",10,"neg",73,74,"eRichness",13,"Vems are better at dealing with bad moods and working out when a situation is better for them",2,-1
"84","5ec19ee0501a370888fa99b0",10,"neg",71,69,"time",13,"Huls are not as smart as the shucks and cannot see past the present",2,2
"85","5ec19ee0501a370888fa99b0",10,"neg",68,68,"unity",13,"Leems are able to learn quickly when they need to",2,0
"86","5ec19ee0501a370888fa99b0",10,"neg",65,71,"size",11,"Xons are much larger then xons",2,-6
"87","5ec19ee0501a370888fa99b0",10,"neg",87,68,"self",13,"Yubs are more aware of their actions",2,19
"88","5ec19ee0501a370888fa99b0",10,"neg",79,66,"pRichness",13,"Fiks are a lot smarter than geks",2,13
"89","5e9aff02f4a78b1a1fe7fc3c",9,"pos",100,100,"appearance",10,"Zags are aliens with two eyes, these are right and left eyes, while Chups still have two eyes, their eyes are located on top of each other. Also another difference is Zags have to limbs that look like arms whilst the Chups have five.",2,0
"90","5e9aff02f4a78b1a1fe7fc3c",9,"pos",100,65,"eRichness",12,"Toffs and Leems are both capable of having good and bad moods, the difference lies in their reactions when shown an angry face. A toff will when shown an angry face, keep looking at the angry face if in a good mood but look away when in a bad mood, whereas the Leems will keep looking at the angry face whatever their mood. Another difference is that it appears that Toffs have a preference for sweet berries regardless of their current conditions while the Leems seem not to have a preference for berry taste.",2,35
"91","5e9aff02f4a78b1a1fe7fc3c",9,"pos",100,41,"self",12,"Geks appear to have a higher measure of self-recognition, shown with recognition of themselves and an imperfection in the mirror and the fact they know to hide when they have done something wrong (Stealing food). Whereas Rubs do not show much of a measure in terms of recognition, as when presented with a mirror they do not acknowledge themselves or attempt to hide when they have done a misdeed.",2,59
"92","5e9aff02f4a78b1a1fe7fc3c",9,"pos",100,48,"time",12,"Pods are aliens that appear to have a higher intelligence, demonstrated by recognition of key shape needed to open the glass box to retrieve the space berries and the fact that they understood to wait for the berries from the tree to sweeten. Elms have a lower intelligence shown by the random pick of key shape for the glass box and the immediate eating of the fruit regardless of their ripeness",2,52
"93","5e9aff02f4a78b1a1fe7fc3c",9,"neg",91,66,"pRichness",14,"Vems and Huls are both able to learn simple rules, but Vems demonstrate a higher understanding with more of a long term effect to their learning, this is demonstrated by the ability to tell the difference between very similar objects and when given a treat for making a connection between the light and the treat, they were still able even after waiting, this also demonstrated a higher intellect.",2,25
"94","5e9aff02f4a78b1a1fe7fc3c",9,"pos",0,0,"size",10,"Xons are much larger and heavier than Shuks. Xons weigh around the weight of a punching bag while the Shuks weigh around the weight of a paperclip. Therefore the only difference is size and weight.",2,0
"95","5e9aff02f4a78b1a1fe7fc3c",9,"pos",54,50,"biology",8,"Dobs are very similar to Yubs. The difference for the Dobs is that their DNA Structure has a closer resemblance to a humans, whilst having the same blood colour of a human. The Yubs do not have any comparative elements to a human, as their DNA is different and blood is yellow. Therefore making Dobs more humanoid.",2,4
"96","5e9aff02f4a78b1a1fe7fc3c",9,"pos",100,87,"unity",12,"Fiks appear to show a higher level of inference and a better understanding of senses than Norps. This is demonstrated by the Fiks being able to recognise the touch of a fruit after being shown only a picture, showing they can understand the elements of the fruit in the picture and how they relate to touch and real life, whilst the Norps were only able to do this with previous experience of touching the fruit. Also the Fiks were able to learn a task and then apply it themselves, shown by squeaking when both eyes see a flower even though one is untrained, whilst the Norps were only able to when they are trained.",2,13
"97","5deeae4afe675754baef331c",8,"neg",68,67,"biology",9,"Fiks are... the fiks have red blood, and have the same dna as humans, the toffs share no dna as humans and fiks and also has yellow blood",2,1
"98","5deeae4afe675754baef331c",8,"neg",69,70,"self",13,"Shuks are... shuks have more self recognition, with the mirror and hiding when being cought, Dobs odnt have this factor of life, meaning the shuks are closer to humans with the self recognition as we do",2,-1
"99","5deeae4afe675754baef331c",8,"neg",78,78,"eRichness",13,"Rubs are... yubs are more conditioned to wether than rubs. they have more of a need and state of survival unlike the rubs.",2,0
"100","5deeae4afe675754baef331c",8,"neg",49,49,"time",13,"Vems are... vems can make quick descions rather than having to wait and make a descion. the quick descion will have more of a positive after, yet they fail when having to wait. xons are able to make descions which they can wait for however, in a moments descion they are fast to get their own needs.",2,0
"101","5deeae4afe675754baef331c",8,"pos",80,27,"size",9,"Norps are... they both are bulit completly different. norps are havier and taller where as zags are short weigh lighter.",2,53
"102","5deeae4afe675754baef331c",8,"pos",78,60,"unity",11,"Huls are... pods cant connect information together the way huls can. huls are a little smarter then the pods.",2,18
"103","5deeae4afe675754baef331c",8,"neg",83,84,"pRichness",15,"Chups are... they have different ways of sotring information, due to memory. chups have a more favourable memory and information process, whereas elms arent able to do this. they are more able to do so in moment.",2,-1
"104","5deeae4afe675754baef331c",8,"pos",87,88,"appearance",9,"Geks are... they have a completly different body type. leems have five arms which may be better for survival, however with geks being more able of prohibral vision they also have this trait too.",2,-1
"105","5a88863f5292b80001231680",7,"pos",88,77,"eRichness",12,"Huls are... more emotionally advanced than gets as they distinguish between angry and non angry faces by turning away. They can also balance their wants and needs by remaining in the cold if they are given sweet berries. Geks seem more simple with not being able to do this and always acting in the same way by staring at the face whatever and always leaving at 12'C",2,11
"106","5a88863f5292b80001231680",7,"neg",65,65,"biology",10,"Leems are... similar to humans in terms of their DNA and colour of their blood. Pods seem to differ in the colour of the blood and the chemical that makes them up.",2,0
"107","5a88863f5292b80001231680",7,"neg",70,70,"appearance",10,"Zags are...similar to humans in terms of their two eyes being side by side and having two limbs whereas Elms res are one above each other and they have more limbs",2,0
"108","5a88863f5292b80001231680",7,"pos",64,64,"size",8,"Shuks are...tall and have a larger weight than chups. Chups are tiny in terms of weight and size similar to a paperclip.",2,0
"109","5a88863f5292b80001231680",7,"pos",100,95,"pRichness",14,"Norps are... able to distinguish between similar shades of colour and also seem more advanced in terms of memory and being able to be tried as they can receive the treat up. to 1sec after the light.",2,5
"110","5a88863f5292b80001231680",7,"pos",100,99,"self",12,"Toffs are... able to recognise themselves in the mirror and are self aware. They are also capable of knowing when something is wrong as when they steal they will hide. Yubs do not do either of these so do not seem as advanced.",2,1
"111","5a88863f5292b80001231680",7,"pos",100,99,"time",12,"Dobs are... able to make plans for the future as they will wait for the berries to ripen whereas Fiks will not and will just eat them. This is similar to comparing humans and animals as an animal will generally not wait. Does are also able to recognise shapes as they will pick the correct shaped key whereas Fiks cannot do this.",2,1
"112","5a88863f5292b80001231680",7,"neg",95,96,"unity",12,"Xons are... more capable than vets as they are able to bring together information and recognise a flower even when shown to the other eye. They can also recognise a fruit by touching it when only shown a picture, Vems need to have also touched it before they can do this.",2,-1
"113","54247957fdf99b691fb38467",6,"pos",94,64,"eRichness",11,"Toffs are...more sensitive to the cold. And more sensitve to loking at angry faces when in a bad mood.",2,30
"114","54247957fdf99b691fb38467",6,"pos",93,79,"pRichness",13,"Elms are...more able to recognise differences between similar things and have a slightly better/longer memory.",2,14
"115","54247957fdf99b691fb38467",6,"pos",86,79,"unity",11,"Huls are...more developed in terms of senses and eyesight",2,7
"116","54247957fdf99b691fb38467",6,"pos",59,55,"biology",9,"Xons are...very similar to humans in terms of dna and blood, Rubs are not.",2,4
"117","54247957fdf99b691fb38467",6,"neg",56,55,"size",9,"Leems are...extremely small, Vems are similar in size to a small human.",2,1
"118","54247957fdf99b691fb38467",6,"pos",88,64,"self",11,"Dobs are...high in self awareness/recognition compared to Geks.",2,24
"119","54247957fdf99b691fb38467",6,"pos",54,53,"appearance",9,"Shuks are...more similar to humans in terms of appearance compared to Chups.",2,1
"120","54247957fdf99b691fb38467",6,"pos",95,77,"time",11,"Fiks are...more logical compared to Pods.",2,18
"121","5ef4c2caf175f90c394dd1ab",5,"neg",100,100,"time",12,"Toffs are...able to plan ahead, resist temptation, solve puzzles to a greater degree than Yubs",2,0
"122","5ef4c2caf175f90c394dd1ab",5,"pos",100,100,"appearance",8,"Rubs are...two eyes two limbs, Vems have 5 limbs and eyes one on top of the other",2,0
"123","5ef4c2caf175f90c394dd1ab",5,"pos",95,94,"biology",8,"Elms are...more like humans in that they have red blood and share 4 dna bases. Dods are less alike in that they have yellow blood and do not share dna bases",2,1
"124","5ef4c2caf175f90c394dd1ab",5,"pos",100,98,"size",8,"Pods are... 4 feet tall and weigh 7 stone, they are larger than Fiks who are 1g and 1 cm tall",2,2
"125","5ef4c2caf175f90c394dd1ab",5,"neg",100,100,"self",12,"Zags are...aware of others",2,0
"126","5ef4c2caf175f90c394dd1ab",5,"pos",100,98,"eRichness",10,"Shuks are...able to withstand cold to access sweet berries. They alter their behaviour according to their mood. Leems dont",2,2
"127","5ef4c2caf175f90c394dd1ab",5,"pos",100,91,"pRichness",12,"Chups are...able to distinguish between similar objects and Geks can't. Chups may have better memory",2,9
"128","5ef4c2caf175f90c394dd1ab",5,"neg",95,95,"unity",12,"Norps are...more able to apply information",2,0
"129","5faf2c7dd2cbea1a11baa817",4,"pos",100,100,"unity",11,"Dobs can recognize a fruit by touch alone even if they haven't touched it before and make a squeak sound when a picture of a flower is presented to either eye Xons can't recognize a fruit if they haven't touched it before and doesn't make a sound when they see a flower to their untrained right eye",2,0
"130","5faf2c7dd2cbea1a11baa817",4,"pos",100,100,"self",11,"Geks are clean and have to clean themselves if they see dirt on their forehead and try to hide themselves when they get caught",2,0
"131","5faf2c7dd2cbea1a11baa817",4,"neg",100,100,"biology",9,"Chups have genes like a human and red blood",2,0
"132","5faf2c7dd2cbea1a11baa817",4,"pos",100,100,"time",11,"Pods know what shape they need to choose if they want something from the box and tend to save the fruit for later",2,0
"133","5faf2c7dd2cbea1a11baa817",4,"pos",100,100,"pRichness",11,"Vems can see and learn simple things and tell the different between similiar things",2,0
"134","5faf2c7dd2cbea1a11baa817",4,"neg",50,24,"size",9,"Leems weigh around 45kg and are around 120cm tall",2,26
"135","5faf2c7dd2cbea1a11baa817",4,"neg",68,73,"appearance",9,"Shuks have eyes like humans and two arms",2,-5
"136","5faf2c7dd2cbea1a11baa817",4,"pos",90,69,"eRichness",9,"Huls have moods like humans and will look at an angry face if they are in a good mood. They like space berries and don't like cold.",2,21
"137","5f0dcbee2c8118077e57b600",3,"neg",100,100,"appearance",10,"Toffs are... very similar to humans fundamentally. they have 2 arms and eyes in a recognisable place. xons however have 5 arms in a different place. with eyes above one another instead of side by side",2,0
"138","5f0dcbee2c8118077e57b600",3,"pos",100,94,"eRichness",8,"Norps are... Norps are more effected by emotion of others. and they are more likely to put theyre own desires infront of their health. Vems are less effected by emotion and care more about their health then their own desires",2,6
"139","5f0dcbee2c8118077e57b600",3,"pos",100,77,"unity",10,"Rubs are... Rubs are more intelligent and can recognise objects easier. they can also recognise from sight where yubs could not do this as productively",2,23
"140","5f0dcbee2c8118077e57b600",3,"pos",100,100,"biology",8,"Fiks are... fiks are closer related to humans. zags are less related and more unrecognisable",2,0
"141","5f0dcbee2c8118077e57b600",3,"pos",100,62,"time",10,"Pods are... far more sensible and intelligent. they can remember what has happened in the past.",2,38
"142","5f0dcbee2c8118077e57b600",3,"neg",100,100,"size",10,"Shuks are...tall and heavy, theyre around the size of a punching bag. Huls are much smaller and lighter",2,0
"143","5f0dcbee2c8118077e57b600",3,"pos",100,83,"pRichness",10,"Leems are... much better at telling the difference between objects. and much more intelligent and remember things",2,17
"144","5f0dcbee2c8118077e57b600",3,"pos",100,72,"self",10,"Chups are... good at self care, and are more emotionally effected by things, they feel guilt and fear and remorse for theyre actions, Geks however are less intelligent and cannot feel guilt",2,28
"145","5fd7702a90c6f7067ef8e5e5",2,"pos",80,71,"unity",9,"Fiks are... able to notice things without being trained- recognise flowers and fruits",2,9
"146","5fd7702a90c6f7067ef8e5e5",2,"neg",89,89,"eRichness",9,"Zags are... able to recognise emotion in others and label how they feel themselves. They like sweet berries and find it hard to notice the cold if they are distracted",2,0
"147","5fd7702a90c6f7067ef8e5e5",2,"neg",22,17,"biology",9,"Shuks are... have yellow blood",2,5
"148","5fd7702a90c6f7067ef8e5e5",2,"pos",36,73,"pRichness",9,"Rubs are... less sentient than elms",2,-37
"149","5fd7702a90c6f7067ef8e5e5",2,"pos",73,50,"self",9,"Chups are... able to recognise themselves in mirrors",2,23
"150","5fd7702a90c6f7067ef8e5e5",2,"neg",67,63,"appearance",11,"Yubs are... humanoid with 2 eyes side by side and human like arms",2,4
"151","5fd7702a90c6f7067ef8e5e5",2,"pos",84,67,"time",9,"Dobs are... able to problem solve and predict the future rewards",2,17
"152","5fd7702a90c6f7067ef8e5e5",2,"pos",96,95,"size",9,"Vems are... smaller than huls",2,1
"153","5de77dcd7da01d6f051f6bff",1,"neg",100,100,"unity",10,"Norps are... Able to use their senses at a higher level",2,0
"154","5de77dcd7da01d6f051f6bff",1,"neg",100,100,"self",10,"Xons are... Slightly more aware of their surroundings",2,0
"155","5de77dcd7da01d6f051f6bff",1,"pos",100,100,"appearance",10,"Huls are... more similar in appearance to humans",2,0
"156","5de77dcd7da01d6f051f6bff",1,"neg",100,100,"pRichness",10,"Zags are... slightly more intelligent",2,0
"157","5de77dcd7da01d6f051f6bff",1,"neg",100,100,"biology",10,"Leems are... more similar in DNA make up to humans",2,0
"158","5de77dcd7da01d6f051f6bff",1,"neg",100,100,"eRichness",10,"Shuks are... slightly better at prioritising needs and controlling their emotions",2,0
"159","5de77dcd7da01d6f051f6bff",1,"neg",100,100,"time",10,"Pods are... slightly better at preparing for the future rather than only focusing on the present",2,0
"160","5de77dcd7da01d6f051f6bff",1,"neg",100,100,"size",10,"Yubs are... much larger and closer in size to humans",2,0
"161","5fde1acf0f62f44eb7affd64",10,"pos",100,19,"self",11,"Chups are... more self-aware as they will attempt to wipe remove dirt from themselves or hide themselves if they are caught stealing food. They seem to care a lot about what others think of their appearance and behaviour.",3,81
"162","5fde1acf0f62f44eb7affd64",10,"neg",50,50,"biology",17,"Geks are... very similar to humans as they have the same bases that make up human DNA and also have red blood.",3,0
"163","5fde1acf0f62f44eb7affd64",10,"neg",39,65,"time",15,"Zags are... more logical in their thinking but may make rash decisions due to a lack of patience.",3,-26
"164","5fde1acf0f62f44eb7affd64",10,"neg",49,49,"appearance",11,"Toffs are... more physically resembling human appearance with two aligned eyes and two limbs for arms.",3,0
"165","5fde1acf0f62f44eb7affd64",10,"pos",100,94,"pRichness",15,"Huls are... slightly more intelligent than Leems and have the ability to think quicker and effectively at a higher performance.",3,6
"166","5fde1acf0f62f44eb7affd64",10,"pos",82,62,"eRichness",11,"Shuks are... more likely to shy away from their own emotions but are able to cope with lower temperatures for berries.",3,20
"167","5fde1acf0f62f44eb7affd64",10,"pos",100,55,"unity",11,"Pods are... very intelligent and able to pick up different senses effectively from very minimal interaction or vision of objects beforehand.",3,45
"168","5fde1acf0f62f44eb7affd64",10,"neg",51,51,"size",11,"Fiks are... hugely taller and heavier.",3,0
"169","5e399832a6df461b2f4db341",9,"pos",100,93,"size",10,"Norps are... much taller than Xons (120 cm compared to 1cm) as well as being heavier (45kg compared to 1 gram)",3,7
"170","5e399832a6df461b2f4db341",9,"pos",100,100,"eRichness",10,"Zags are... able to experience both good and bad moods, but look away from the face when in a bad mood, unlike Yubs who look at the face regardless of mood. Zags dislike the cold and leave the room at 12 degrees in the unsweet condition but at 8 degrees in the sweet berry condition, compared with Yubs who leave the room at 12 degrees regardless of sweetness.",3,0
"171","5e399832a6df461b2f4db341",9,"pos",100,100,"unity",10,"Fiks are... able to recognise fruit by touch even if they haven't touched it before, whereas Rubs can only recognise it if they have touched it before. Fiks also make a squeak sound when seeing a flower with both the trained and untrained eye, whereas Rubs only respond when it is seen by the trained left eye.",3,0
"172","5e399832a6df461b2f4db341",9,"pos",100,100,"appearance",10,"Pods are... 2 limbed creatures with left and right eyes, whereas Vems have 5 limbs and eyes one on top of the other.",3,0
