"","chain_number","subj_id","participant_number","mwj","conscPos","conscNeg","dimension","numNeg","description"
"24",4,"5f5a4d7af233b40d54c6a53e",8,"pos",53,53,"size",11,"Leems are... phenotypically more similar to humans, with a weight and height that corresponds to a small human (maybe a child)"
"25",4,"5cd59972141c860019dde025",7,"pos",100,100,"time",10,"Yubs are...more able to make plans for the future and take strategic decisions which are more likely to ensure their survival. We might say they are more intelligent than Toffs"
"26",4,"5cd59972141c860019dde025",7,"pos",100,100,"pRichness",12,"Vems are...more able than Shuks to hold information for short periods of time"
"27",4,"5cd59972141c860019dde025",7,"pos",100,100,"self",10,"Pods are...more likely to exhibit behaviour indicative of shame if they steal food from a neighbour. They also are able to understand that the reflection in the mirror is them. Rubs are unable to do this."
"28",4,"5cd59972141c860019dde025",7,"pos",100,100,"unity",10,"Geks are...better at using information from combined senses, and better at interpreting information shown to the eyes"
"29",4,"5cd59972141c860019dde025",7,"neg",49,50,"size",12,"Elms are...smaller and lighter than Huls"
"30",4,"5cd59972141c860019dde025",7,"pos",100,100,"eRichness",12,"Fiks are...more able to choose between different priorities, eg able to tolerate the cold for longer in order to eat sweet berries that they like to eat"
"31",4,"5cd59972141c860019dde025",7,"neg",100,100,"appearance",10,"Dobs are...five limbed. They have two yes which are one on top of the other. Chups have two eyes which are side by side. THEY HAVE TWO LIMBS. Chups look more like humans than Dobs"
"32",4,"5cd59972141c860019dde025",7,"pos",50,51,"biology",10,"Leems are...more like humans because their blood is red and their DNA is similar to that of humans"
"33",4,"5f6b3438e9b7710ee0aa69b3",6,"neg",0,0,"size",13,"Geks are taller and heavier than Zags. Zags are 1cm tall and weigh the same as a paperclip, whilst Geks are as heavy as punching bags and 120cm tall."
"34",4,"5f6b3438e9b7710ee0aa69b3",6,"neg",0,0,"self",11,"Elms are clean and like to hide their wrongdoings, whilst Xons don't care about their outward appearance."
"35",4,"5f6b3438e9b7710ee0aa69b3",6,"neg",0,0,"appearance",11,"Fiks have 5 limbs and two eyes next to each other, whilst Dobs have two eyes above each other and 2 limbs."
"36",4,"5f6b3438e9b7710ee0aa69b3",6,"pos",100,100,"pRichness",11,"Toffs are smarter than Chups"
"37",4,"5f6b3438e9b7710ee0aa69b3",6,"pos",100,100,"eRichness",11,"Shuks are picky but Vems don't care as long as they get their treat."
"38",4,"5f6b3438e9b7710ee0aa69b3",6,"neg",47,42,"biology",11,"Rubs are made of the same genetic material as humans and bleed the same colour, whereas Huls don't"
"39",4,"5f6b3438e9b7710ee0aa69b3",6,"neg",78,78,"unity",11,"Norps are more intelligent when it comes to sight and object recognition"
"40",4,"5f6b3438e9b7710ee0aa69b3",6,"neg",92,91,"time",11,"Yubs are smarter than Pods"
"41",4,"5cf806142780ca001a9d5cee",5,"neg",100,100,"time",12,"Norps are... able to problem solve, have better space awareness, and understand delay for better reward. Leems sre less developed in these respacts."
"42",4,"5cf806142780ca001a9d5cee",5,"neg",62,61,"biology",12,"Xons are... like humans as same genetic make up and blood colour. Elms do not share our genetic makeup."
"43",4,"5cf806142780ca001a9d5cee",5,"pos",55,54,"appearance",10,"Pods are... more human like than rubs i their appearance. Pods eyes are spaced like ours and they have 2 arms unlike Rubs."
"44",4,"5cf806142780ca001a9d5cee",5,"neg",100,100,"eRichness",12,"Fiks are...emotionally more advanced than vems."
"45",4,"5cf806142780ca001a9d5cee",5,"neg",100,100,"unity",12,"Chups are... able to integrate information better than zags"
"46",4,"5cf806142780ca001a9d5cee",5,"neg",100,100,"self",12,"Huls are...better at self recognition than Shuks. They also know how to stay away from danger better."
"47",4,"5cf806142780ca001a9d5cee",5,"pos",100,100,"pRichness",10,"Yubs are... better with short-term memory and can identify colours more easily."
"48",4,"5cf806142780ca001a9d5cee",5,"neg",100,100,"size",14,"Geks are... bigger and heavier than Toffs."
"49",4,"5f58ad1de350f30278169535",4,"neg",85,81,"pRichness",11,"Geks are able to to differentiate between similar object but pods are not, Pods have poor short term memory compared to Geks"
"50",4,"5f58ad1de350f30278169535",4,"pos",93,76,"eRichness",11,"Fiks mood influences their behaviour whereas leems does not. Fiks can endure a degree of discomfort if sufficiently motivated, leems not."
"51",4,"5f58ad1de350f30278169535",4,"pos",51,51,"size",13,"Norps are lightwweight and short zags are tall and much heavier.."
"52",4,"5f58ad1de350f30278169535",4,"pos",51,51,"biology",11,"Vems are Genetically similar to humans with similar appearing blood, neither is true of dobs..."
"53",4,"5f58ad1de350f30278169535",4,"pos",97,28,"self",11,"Rubs are.able to recognise themselves in a mirror and are(possibly) aware stealing is wrong (or at least frowned upon) neither of these are true of Yubs.."
"54",4,"5f58ad1de350f30278169535",4,"pos",78,69,"unity",11,"Huls are able to integrate information from different sensory modalities and also information presented to left or right eye neither of these things is true of toffs.."
"55",4,"5f58ad1de350f30278169535",4,"pos",92,58,"time",11,"Elms are able to plan for the future and will delay gratification (eating berries) for a greater reward (better tasting berries later, shuks do not exhibit this behaviour"
"56",4,"5f58ad1de350f30278169535",4,"pos",51,51,"appearance",9,"Xons are posseswed of two side by side eyes and two arems wheres chuups eyes are arranged on a verticle axis and they have 5 arms"
"57",4,"5ffe9097b65b905549abe5f1",3,"neg",100,100,"appearance",10,"Norps are... creatures with 2 arms unlike geks who have 5. Norps also have a different placement of eyes on their body compared to geks"
"58",4,"5ffe9097b65b905549abe5f1",3,"pos",100,100,"self",10,"Zags are... creautures that care about their appearance and reputation more than leems"
"59",4,"5ffe9097b65b905549abe5f1",3,"pos",100,100,"unity",10,"Yubs are... more intelligent than elms and can better process information"
"60",4,"5ffe9097b65b905549abe5f1",3,"pos",100,100,"time",10,"Pods are... more intelligent than chups and have much better memory"
"61",4,"5ffe9097b65b905549abe5f1",3,"pos",100,100,"biology",10,"Shuks are... creatures who have a DNA with similar base structure to humans. Shuks have red blood whereas toffs have yellow blood"
"62",4,"5ffe9097b65b905549abe5f1",3,"pos",100,100,"eRichness",10,"Dobs are... more likely to do something if the end result will make them happy. They are also more willing to undergo hardship to achieve a goal"
"63",4,"5ffe9097b65b905549abe5f1",3,"pos",100,100,"size",12,"Rubs are... much heavier and much taller than vems"
"64",4,"5ffe9097b65b905549abe5f1",3,"pos",100,100,"pRichness",10,"Xons are... more intelligent than fiks, they have better memory and can pay better attention to detail"
"65",4,"5f619d46bfaddb146a5c04e6",2,"pos",100,100,"size",11,"Fiks are taller and heavier than Leems"
"66",4,"5f619d46bfaddb146a5c04e6",2,"neg",100,100,"biology",11,"Vems are red blooded. Elms are yellow blooded"
"67",4,"5f619d46bfaddb146a5c04e6",2,"neg",81,80,"time",11,"Geks are able to see the space berries through the glass and understand that they needed a triangular key to open the box and they can open it the next day"
"68",4,"5f619d46bfaddb146a5c04e6",2,"neg",81,62,"eRichness",11,"When Chups are are shown an angry face, they keep looking at the face if they are in a good mood, but they look away from the face if they are in a bad mood."
"69",4,"5f619d46bfaddb146a5c04e6",2,"neg",87,82,"unity",11,"Yubs are shown s picture of a fruit they can later identify it by touch"
"70",4,"5f619d46bfaddb146a5c04e6",2,"pos",78,80,"self",9,"Huls are thieves that steal food from their neighbours"
"71",4,"5f619d46bfaddb146a5c04e6",2,"pos",82,83,"appearance",9,"Pods have left and right eyes and two limbs"
"72",4,"5f619d46bfaddb146a5c04e6",2,"neg",74,76,"pRichness",11,"Rubs can make the association between light and a treat"
"73",4,"601056fe0e610a339db2e43b",1,"neg",49,100,"self",10,"Yubs are...thinking only of themselves and put on a good show. Geks are open and honest"
"74",4,"601056fe0e610a339db2e43b",1,"pos",0,0,"size",10,"Huls are... are large heavy whereas Chups are small and light"
"75",4,"601056fe0e610a339db2e43b",1,"pos",100,100,"eRichness",10,"Xons are... more adaptable and tolerant"
"76",4,"601056fe0e610a339db2e43b",1,"neg",100,100,"appearance",10,"Shuks are... Norps have 3 more arms"
"77",4,"601056fe0e610a339db2e43b",1,"pos",100,100,"pRichness",10,"Dobs are... Dobs is able to compute information quicker"
"78",4,"601056fe0e610a339db2e43b",1,"pos",100,100,"unity",10,"Fiks are... able to have 2 eyes working the same"
"79",4,"601056fe0e610a339db2e43b",1,"pos",100,35,"biology",10,"Elms are... DNA"
"80",4,"601056fe0e610a339db2e43b",1,"pos",100,100,"time",10,"Toffs are... able to see the bigger picture"
