"","subj_id","participant_number","mwj","conscPos","conscNeg","dimension","numNeg","description","chain_number"
"44",5,5,"neg",80,82,"time",10,"Huls are calculative for short term plans only while pods are calculative for long term plans only",1
"45",5,5,"pos",78,68,"appearance",10,"Vems are more human like with two eyes just like the human own and two limbs just like the human upper limbs",1
"46",5,5,"pos",54,50,"size",8,"Dobs are bigger in size and weighs more as compare to norps",1
"47",5,5,"pos",91,77,"eRichness",8,"Elms are express their moods better as compare to chups",1
"48",5,5,"pos",83,50,"unity",12,"Fiks are more brillant with judgement as compare to xons",1
"49",4,4,"pos",55,44,"pRichness",11,"Pods are... able to hold longer memory and cognitively differentiate between objects, which Xons cannot do.",1
"50",4,4,"pos",63,45,"biology",11,"Huls are... more similar to humans genetically than Zags as a result of their base genetic makeup, resulting in likely more physiological and cognitive similarities to humans than Zags have.",1
"51",4,4,"pos",53,53,"appearance",9,"Shuks have eyes horizontally separated while Norps have eyes vertically separated. Shuks also have two arms while Norps have five.",1
"52",4,4,"pos",88,63,"time",9,"Dobs are... more able to cognitively prepare for the future through conscious thought and higher order thinking than Elms.",1
"53",4,4,"pos",94,68,"eRichness",7,"Fiks are... able to use higher order thought, weighing needs and choosing options that are better for their physical and mental states.",1
"54",4,4,"pos",53,48,"unity",11,"Leems are... more well versed in visual learning and visual memory than Geks.",1
"55",4,4,"neg",38,36,"size",9,"Toffs are... far taller and heavier than Vems.",1
"56",4,4,"pos",97,47,"self",9,"Yubs are... more self aware and self conscsious than Chups. They also have a grasp of the idea of risk reward, recognizing being caught would likely lead to punishment of some sort.",1
"57",3,3,"pos",100,100,"unity",10,"Zags are... able to feel the fruit if just shown the picture. They are also able to see the picture and make a sound regardless if one of the eyes is untrained which the pods cannot do. It seems that they have higher sensory capabilities than the Pods.",1
"58",3,3,"neg",100,100,"eRichness",8,"Norps are... more in tune with what they want? Although they are similar to Fiks in disliking temperature, if they eat the sweet space berries they leave at 8, but for some reason they will stay and eat the bitter ones longer.The Fiks will eat and stay regardless despite how cold it gets.",1
"59",3,3,"pos",100,100,"pRichness",10,"Huls are... able to learn association much better than Geks. They could associate that the light meant a treat was coming even if it wasn't immediately. The Geks could understand that the light meant a treat only if it was immediately.",1
"60",3,3,"pos",100,100,"size",8,"Yubs are... heavier and taller. They weigh more and are taller than Rubs according to the reading and charts although the order in the text lead to believe the chart was concurrent with it. The Yubs were listed last in the text and first on the chart.",1
"61",3,3,"pos",100,100,"self",8,"Chups are... more self-aware of themselves. If they notice they're dirty they'll clean themselves. If they get caught stealing, they will try to make an excuse/frame somebody else. The Elms don't like to be dirty, but they don't make the association that it is them that is dirty. They also don't seem to care if they get caught stealing. They are probably not aware of norms/care about their image to others.",1
"62",3,3,"pos",100,100,"biology",10,"Leems are... similar to humans. They have blood that is red, and their DNA is similar to humans. Dobs are like a bear/animal. Their DNA code is similar to a bear, and their blood is not the color red. Leems would be more similar to humans than Dobs.",1
"63",3,3,"pos",100,100,"appearance",8,"Shuks are... normal looking because they look like a human/what we're used to seeing. Animals and humans have eyes that are side by side and have limbs on each side. The Xons look like an alien/foreign. They have a weird assortment of limbs, and their eyes are stacked on top of each other like a stereotypical alien.",1
"64",3,3,"pos",100,100,"time",8,"Toffs are... are able to see the future/make the long term plan. The Toffs would acknowledge that they need the triangular key to open the box to get the berries, so they made note to choose it the next day. They also realize that if they don't eat the berries today, it will ripen and be larger and sweeter the next. They are able to plan ahead/see the benefits of waiting. The Vems are not that smart/have bad memory/not able to plan. They know that they need a triangular key to open the box. However, the next day they seem to not care/remember that the triangular key is best. In terms of the berries, they know they will ripen and become larger and sweeter. However, they still go ahead and eat them now. Perhaps, they also are impatient.",1
"65",2,2,"neg",100,100,"biology",11,"Elms are...Subject of human type DNA, with red blood. Norps have no human related DNA, and have yellow blood.",1
"66",2,2,"neg",100,100,"appearance",9,"Fiks are... subject of two eyes, side by side, and two arms, Dobs have two eyes, one above the other, and the bear x5 arms.",1
"67",2,2,"neg",100,100,"pRichness",11,"Shuks are...able to tell the difference between shades of colour - Geks cannot. Shuks are also able to define the association with blast of light resulting in a treat. Geks only identify this upon being granted the stated treat.",1
"68",2,2,"neg",100,100,"size",9,"Huls are... much heavier than Zags. Zags weight in at 1g, Huls 7kg - however are otherwise identical.",1
"69",2,2,"neg",100,99,"self",9,"Toffs are... concious of cleanliness, and if see dirt - remove. Vems - of they see dirt, they avoid the seeing of it (mirror use). Toffs steal and then hide, Vems steal from neighbours - and do not hide (care not?)",1
"70",2,2,"neg",100,100,"unity",11,"Pods are...Pods can see an image of s fruit - and then recognise the fruit by touch alone - Yubs are unable to do this. Pods - if shown an image of a flower to either left or right eye - they will squeak in recognition. Yubs - will on ly to this to the trained left eye alone.",1
"71",2,2,"neg",100,100,"time",9,"Chups are...identical to Rubs, and are able to associate the requirement to complete a given task, and remebber the key component a day later. Rubs, are unable to complete such task, and have no active memory to assist.",1
"72",2,2,"neg",100,99,"eRichness",9,"Xons are... able to experience both good and bad moods. Xons refuse to look at appearances of anger if they themselves are in a good mood. Leems care not.",1
"73",1,1,"neg",98,98,"appearance",10,"Pods are... almost ""normal"" looking with their eyes being next to each other while Toffs had eyes sort of vertically arranged and had five limbs.",1
"74",1,1,"pos",100,73,"biology",10,"Rubs are... more similar to humans in their genetic makeup while Huls are not similar at all.",1
"75",1,1,"neg",68,90,"time",10,"Yubs are... not as concerned about the future as Chups or they are just less patient.",1
"76",1,1,"pos",93,61,"pRichness",10,"Xons are... seemingly a bit more intelligent than Norps",1
"77",1,1,"neg",52,52,"size",10,"Elms are... bigger than zags",1
"78",1,1,"neg",84,84,"self",10,"Dobs are... able to recognize themselves while Geks are not able to do so",1
"79",1,1,"pos",82,50,"unity",10,"Fiks are... smarter than leems",1
"80",1,1,"neg",59,50,"eRichness",10,"Vems are... more affected by mood than Shuks",1
